"","ENSAYO","PARCELA","SUBPARC","MEDICION","ANHO","EDAD2","SUPERFICIE","N","NHA","CF","HD","DESCRIPCION","DQ","SDI","AB_NA","AB_NO","AB_ND","AB_Total","ZONA","SDI_perc","AB_Nothofagus","Noth_prop","NA_prop","NO_prop","ND_prop","Dominant","IS"
"451",3,2,2,3,1983,40,500,24,480,5,35.96,"20 M2/HA",24.7322495270177,2491.9479265117,15.8749860413771,3.56584903349383,3.61911473693544,23.0599498118063,4,2.42217578040481,23.0599498118063,1,0.688422402083864,0.154633859249259,0.156943738666877,"Mixed",NA
"452",3,2,2,4,1988,45,500,24,480,5,37.9309090909091,"20 M2/HA",26.4569373723409,2265.81653844426,18.3287024478844,3.77488502649492,4.28464231700609,26.3882297913854,4,2.20237585379358,26.3882297913854,1,0.694578703944283,0.143051847597873,0.162369448457844,"Mixed",NA
"453",3,2,2,5,1994,51,500,24,480,5,40.82,"20 M2/HA",28.9953157136344,1991.01958527716,22.2836936830308,4.25363791314424,5.15737987180241,31.6947114679775,4,1.93527295111691,31.6947114679775,1,0.703072930811975,0.134206551065842,0.162720518122184,"NA",NA
"454",3,2,3,2,1980,37,500,24,480,5,36.7,"20 M2/HA",24.6939348153887,2497.40602380019,22.4274529628591,0.561104155894405,0,22.9885571187535,4,2.42748105621681,22.9885571187535,1,0.975592023762263,0.0244079762377374,0,"NA",NA
"455",3,2,3,3,1983,40,500,24,480,5,38.5,"20 M2/HA",26.3395140425939,2280.084353753,25.5198953993835,0.634617423988406,0,26.1545128233719,4,2.2162441839912,26.1545128233719,1,0.975735834642605,0.0242641653573951,0,"NA",NA
"456",3,2,3,4,1988,45,500,24,480,5,40.4836363636364,"20 M2/HA",27.8134909517957,2111.44230278703,28.4121720388917,0.751494407042817,0,29.1636664459345,4,2.05232394831461,29.1636664459345,1,0.974231826837137,0.025768173162863,0,"NA",NA
"457",3,2,3,5,1994,51,500,24,480,5,43,"20 M2/HA",29.615346528447,1932.44903106,32.1599342160843,0.90477868423386,0,33.0647129003182,4,1.8783423161063,33.0647129003182,1,0.972636124591145,0.0273638754088548,0,"NA",NA
"458",3,2,4,2,1980,37,500,30,600,5,27.72,"20 M2/HA",20.7658453556154,3986.38112881584,15.5438150517989,4.77696441737923,0,20.3207794691781,4,3.87476628983852,20.3207794691781,1,0.764922185951343,0.235077814048657,0,"NA",NA
"459",3,2,4,3,1983,40,500,30,600,5,29.46,"20 M2/HA",22.2593650703099,3614.20324385496,17.9505577677875,5.39835573629602,0,23.3489135040835,4,3.51300902783326,23.3489135040835,1,0.768796276736736,0.231203723263264,0,"NA",NA
"460",3,2,4,4,1988,45,500,29,580,5,30.9581818181818,"20 M2/HA",23.367314031811,3262.26027148495,19.087962560404,5.78545525363442,0,24.8734178140384,4,3.17092012032081,24.8734178140384,1,0.7674040899048,0.2325959100952,0,"NA",NA
"461",3,2,4,5,1994,51,500,29,580,5,33.48,"20 M2/HA",25.3346770666011,2910.55764177851,22.2590950125532,6.97896954013339,0,29.2380645526866,4,2.82906482610841,29.2380645526866,1,0.761305351537296,0.238694648462704,0,"NA",NA
"462",3,5,1,2,1980,37,500,14,280,5,26.56,"10 M2/HA",22.8781086880637,1622.61581590367,11.5103399518182,0,0,11.5103399518182,4,1.57718413309115,11.5103399518182,1,1,0,0,"NA",NA
"463",3,5,1,3,1983,40,500,14,280,5,28.04,"10 M2/HA",24.4665807057008,1475.96060129353,13.164199988374,0,0,13.164199988374,4,1.43463512349126,13.164199988374,1,1,0,0,"NA",NA
"464",3,5,1,4,1988,45,500,13,260,5,30.7218181818182,"10 M2/HA",27.7610743181556,1146.74651967218,15.7375008596045,0,0,15.7375008596045,4,1.11463871963875,15.7375008596045,1,1,0,0,"NA",NA
"465",3,5,1,5,1994,51,500,13,260,5,34.08,"10 M2/HA",31.0859973423603,977.546082486337,19.7329874836915,0,0,19.7329874836915,4,0.950175732019612,19.7329874836915,1,1,0,0,"NA",NA
"466",3,5,2,2,1980,37,500,11,220,5,26.7,"10 M2/HA",23.6621101034006,1215.70938108127,7.57802413528315,2.09627482199759,0,9.67429895728075,4,1.18167068723141,9.67429895728075,1,0.783315066936198,0.216684933063803,0,"NA",NA
"467",3,5,2,3,1983,40,500,11,220,5,28.34,"10 M2/HA",25.1374403846316,1116.24867182942,8.58212427126026,2.33616683702571,0,10.918291108286,4,1.08499478221402,10.918291108286,1,0.786031823674973,0.213968176325027,0,"NA",NA
"468",3,5,2,4,1988,45,500,10,200,5,29.8381818181818,"10 M2/HA",27.0980530543957,912.723242703381,10.4305791004051,1.10384868853978,0,11.5344277889449,4,0.887167869427906,11.5344277889449,1,0.904299657621703,0.0957003423782974,0,"NA",NA
"469",3,5,2,5,1994,51,500,10,200,5,34.18,"10 M2/HA",30.8963104593413,758.481719517901,13.6916576869485,1.30288130529676,0,14.9945389922453,4,0.73724496059907,14.9945389922453,1,0.91310961237484,0.0868903876251595,0,"NA",NA
"470",3,5,3,2,1980,37,500,8,160,5,37.6,"10 M2/HA",33.6027900627314,538.977269591117,13.0861942427854,1.10309172049172,0,14.1892859632771,4,0.523886424231903,14.1892859632771,1,0.922258828009627,0.0777411719903733,0,"NA",NA
"471",3,5,3,3,1983,40,500,8,160,5,38.92,"10 M2/HA",34.9141984012235,510.630555595254,14.0514800015274,1.26694148533969,0,15.3184214868671,4,0.49633339097452,15.3184214868671,1,0.91729294781281,0.0827070521871901,0,"NA",NA
"472",3,5,3,4,1988,45,500,7,140,5,42.0654545454545,"10 M2/HA",39.518629056471,375.139315736147,15.614307587684,1.55772314718386,0,17.1720307348678,4,0.364635775566019,17.1720307348678,1,0.909287190825899,0.0907128091741009,0,"NA",NA
"473",3,5,3,5,1994,51,500,7,140,5,45.82,"10 M2/HA",43.1435808832388,331.440561388135,18.5205369229283,1.94627948075195,0,20.4668164036802,4,0.322160544326425,20.4668164036802,1,0.904905607087872,0.0950943929121277,0,"NA",NA
"474",3,5,4,2,1980,37,500,10,200,5,33.28,"10 M2/HA",28.7175207843574,840.938766344306,11.8924361583111,1.06185831691335,0,12.9542944752244,4,0.81739328939108,12.9542944752244,1,0.918030401505525,0.0819695984944756,0,"NA",NA
"475",3,5,4,3,1983,40,500,9,180,5,34.7,"10 M2/HA",31.1794982498293,673.900448202538,12.555689199337,1.18791472213864,0,13.7436039214756,4,0.6550318835615,13.7436039214756,1,0.913565995576865,0.0864340044231352,0,"NA",NA
"476",3,5,4,4,1988,45,500,9,180,5,37.4018181818182,"10 M2/HA",33.5964961660778,606.509735807181,14.5518057635481,1.4051616959389,0,15.956967459487,4,0.589528046321709,15.956967459487,1,0.911940555152071,0.0880594448479289,0,"NA",NA
"477",3,5,4,5,1994,51,500,9,180,5,41.62,"10 M2/HA",37.3335119043348,522.634361687793,18.0143320986554,1.68992552021902,0,19.7042576188744,4,0.508001102037297,19.7042576188744,1,0.914235514328626,0.0857644856713743,0,"NA",NA
"478",3,6,1,2,1980,37,500,12,240,5,32.12,"10 M2/HA",26.5074360636156,1129.86370238863,5.85602295407098,7.38850755845535,0,13.2445305125263,4,1.09822860500749,13.2445305125263,1,0.442146510858389,0.557853489141611,0,"Mixed",NA
"479",3,6,1,3,1983,40,500,12,240,5,33.6,"10 M2/HA",27.8167665266831,1055.54571965663,6.50551581927414,8.07975219002471,0,14.5852680092989,4,1.02599145434039,14.5852680092988,1,0.446033340979853,0.553966659020147,0,"Mixed",NA
"480",3,6,1,4,1988,45,500,11,220,5,36.1854545454546,"10 M2/HA",31.0108193475125,829.985567021752,7.12729178856418,9.48918878869431,0,16.6164805772585,4,0.806746769118814,16.6164805772585,1,0.428929083714555,0.571070916285445,0,"Mixed",NA
"481",3,6,1,5,1994,51,500,11,220,5,39.7,"10 M2/HA",33.849734791495,733.475528080992,8.24922540572261,11.5488558777512,0,19.7980812834739,4,0.712938918480674,19.7980812834739,1,0.416667922896575,0.583332077103425,0,"Mixed",NA
"482",3,6,2,2,1980,37,500,9,180,5,34.32,"10 M2/HA",29.9575811217573,713.013139537958,11.2070348890774,1.48045983004092,0,12.6874947191183,4,0.693049457143674,12.6874947191183,1,0.883313462364633,0.116686537635367,0,"NA",NA
"483",3,6,2,3,1983,40,500,9,180,5,36.3,"10 M2/HA",31.6096504251471,660.995190703568,12.4662794724158,1.65915362017711,0,14.1254330925929,4,0.64248796086499,14.1254330925929,1,0.882541398249436,0.117458601750564,0,"NA",NA
"484",3,6,2,4,1988,45,500,7,140,5,40.1618181818182,"10 M2/HA",37.9514615746911,397.184336607526,13.9128478788005,1.92422550032375,0,15.8370733791243,4,0.386063557047762,15.8370733791243,1,0.878498668645422,0.121501331354578,0,"NA",NA
"485",3,6,2,5,1994,51,500,7,140,5,44.58,"10 M2/HA",42.0084515306146,344.149123244497,16.9902514334014,2.41374846760611,0,19.4039999010076,4,0.334513278669211,19.4039999010076,1,0.875605623586878,0.124394376413122,0,"NA",NA
"486",3,6,3,2,1980,37,500,8,160,5,32.86,"10 M2/HA",30.2121043623247,626.267585893764,10.7373510794025,0.732870734229427,0,11.4702218136319,4,0.608732695601672,11.4702218136319,1,0.936106664183387,0.0638933358166134,0,"NA",NA
"487",3,6,3,3,1983,40,500,8,160,5,35,"10 M2/HA",31.9376541092172,579.053799767709,11.9941295125078,0.823741301734512,0,12.8178708142423,4,0.562840850094359,12.8178708142423,1,0.93573493494573,0.0642650650542701,0,"NA",NA
"488",3,6,3,4,1988,45,500,8,160,5,37.2018181818182,"10 M2/HA",34.3644970430937,522.195238135893,13.7638477214095,1.07601378817534,0,14.8398615095849,4,0.507574273522663,14.8398615095849,1,0.927491655668056,0.0725083443319438,0,"NA",NA
"489",3,6,3,5,1994,51,500,8,160,5,40.9,"10 M2/HA",38.2652747278783,448.680446842288,16.976915372587,1.42315718003944,0,18.4000725526264,4,0.436117825705896,18.4000725526264,1,0.922654806062909,0.0773451939370916,0,"NA",NA
"490",3,6,4,2,1980,37,500,11,220,5,26.36,"10 M2/HA",24.2957908812505,1171.20420016573,10.199400461365,0,0,10.199400461365,4,1.13841160859286,10.199400461365,1,1,0,0,"NA",NA
"491",3,6,4,3,1983,40,500,11,220,5,28.56,"10 M2/HA",26.8395569669437,1017.66833681562,12.4469586775962,0,0,12.4469586775962,4,0.989174601802449,12.4469586775962,1,1,0,0,"NA",NA
"492",3,6,4,4,1988,45,500,11,220,5,31.0927272727273,"10 M2/HA",29.5749418016249,887.413886160994,15.1133367606262,0,0,15.1133367606262,4,0.862567150535511,15.1133367606262,1,1,0,0,"NA",NA
"493",3,6,4,5,1994,51,500,11,220,5,34.96,"10 M2/HA",33.1097623615206,756.71445303931,18.9419501614808,0,0,18.9419501614808,4,0.735527175882776,18.9419501614808,1,1,0,0,"NA",NA
"494",3,7,1,2,1980,37,500,10,200,5,35.02,"10 M2/HA",29.2614080317404,818.965347850189,13.4496293889159,0,0,13.4496293889159,4,0.796035105488877,13.4496293889159,1,1,0,0,"NA",NA
"495",3,7,1,3,1983,40,500,10,200,5,36.78,"10 M2/HA",30.7558124587857,763.375944915827,14.8584766144183,0,0,14.8584766144183,4,0.742002152391314,14.8584766144183,1,1,0,0,"NA",NA
"496",3,7,1,4,1988,45,500,10,200,5,39.84,"10 M2/HA",33.5899416763141,674.085286335743,17.7230464838078,0,0,17.7230464838078,4,0.655211546404685,17.7230464838078,1,1,0,0,"NA",NA
"497",3,7,1,5,1994,51,500,10,200,5,44.32,"10 M2/HA",37.5483421737898,576.021708097133,22.1463118362894,0,0,22.1463118362894,4,0.559893654075414,22.1463118362894,1,1,0,0,"NA",NA
"498",3,7,2,2,1980,37,500,15,300,5,20.86,"10 M2/HA",17.0006470465097,2643.38094794124,6.80992043944372,0,0,6.80992043944372,4,2.56936882282669,6.80992043944372,1,1,0,0,"NA",NA
"499",3,7,2,3,1983,40,500,15,300,5,22.32,"10 M2/HA",18.845812974416,2285.6480936273,8.36837030711001,0,0,8.36837030711001,4,2.22165214449817,8.36837030711001,1,1,0,0,"NA",NA
"500",3,7,2,4,1988,45,500,15,300,5,25.9309090909091,"10 M2/HA",21.8982260247332,1849.30060690177,11.2987137026925,0,0,11.2987137026925,4,1.79752196788305,11.2987137026925,1,1,0,0,"NA",NA
"501",3,7,2,5,1994,51,500,15,300,5,30.74,"10 M2/HA",25.8909250510676,1460.01982410589,15.7945141455554,0,0,15.7945141455554,4,1.41914067273892,15.7945141455554,1,1,0,0,"NA",NA
"502",3,7,3,2,1980,37,500,13,260,5,27.36,"10 M2/HA",21.2477329107402,1672.403832643,6.08810811135493,3.13098977838393,0,9.21909788973886,4,1.62557813322952,9.21909788973885,1,0.660380026784528,0.339619973215472,0,"Mixed",NA
"503",3,7,3,3,1983,40,500,13,260,5,29.34,"10 M2/HA",23.0620067176765,1489.78745777536,7.27905447040428,3.58163553657812,0,10.8606900069824,4,1.44807484128516,10.8606900069824,1,0.670220259092612,0.329779740907388,0,"Mixed",NA
"504",3,7,3,4,1988,45,500,12,240,5,31.2818181818182,"10 M2/HA",25.0322911291307,1224.95049831235,7.52649150051615,4.28493427741427,0,11.8114257779304,4,1.19065306206471,11.8114257779304,1,0.637221250171114,0.362778749828886,0,"Mixed",NA
"505",3,7,3,5,1994,51,500,13,260,5,34.98,"10 M2/HA",28.6255130958381,1098.1823630683,11.5146910576435,5.21815398168611,0,16.7328450393296,4,1.06743431272871,16.7328450393296,1,0.688149028487317,0.311850971512683,0,"Mixed",NA
"506",3,7,4,2,1980,37,500,12,240,5,31.62,"10 M2/HA",25.6155389038242,1185.77544264349,10.6074933470663,1.7607527265942,0,12.3682460736605,4,1.15257487029048,12.3682460736605,1,0.857639254902608,0.142360745097392,0,"NA",NA
"507",3,7,4,3,1983,40,500,11,220,5,33.68,"10 M2/HA",27.6302699621596,976.812780222074,11.7774381592264,1.41371669411541,0,13.1911548533418,4,0.949462961513729,13.1911548533418,1,0.892828436188265,0.107171563811735,0,"NA",NA
"508",3,7,4,4,1988,45,500,11,220,5,36.6581818181818,"10 M2/HA",30.2251114619127,860.595022558358,14.2932580106907,1.49188003860823,0,15.7851380492989,4,0.836499189329268,15.7851380492989,1,0.905488312237188,0.0945116877628125,0,"NA",NA
"509",3,7,4,5,1994,51,500,11,220,5,40.74,"10 M2/HA",33.6932418365248,738.287691170196,18.0269927170493,1.58845207750807,0,19.6154447945574,4,0.717616345629941,19.6154447945574,1,0.919020338608441,0.0809796613915587,0,"NA",NA
"510",3,8,1,2,1980,37,500,20,400,5,36.04,"20 M2/HA",25.8700405875213,1948.91121522818,19.7938872572813,0,1.2315043202072,21.0253915774885,4,1.89434357494502,21.0253915774885,1,0.941427758162386,0,0.0585722418376144,"NA",NA
"511",3,8,1,3,1983,40,500,20,400,5,38.02,"20 M2/HA",27.2233723113063,1813.59911530719,21.924986633844,0,1.35773351302844,23.2827201468724,4,1.7628200837286,23.2827201468724,1,0.94168492751433,0,0.0583150724856702,"NA",NA
"512",3,8,1,4,1988,45,500,8,160,5,39.3090909090909,"20 M2/HA",35.0868111714618,507.089078257678,13.7700161477123,0,1.70024565208606,15.4702617997984,4,0.492891071597511,15.4702617997984,1,0.890095870768766,0,0.109904129231234,"NA",NA
"513",3,8,1,5,1994,51,500,9,180,5,43.4,"20 M2/HA",37.0542245304845,528.202007484275,16.3285691887024,0.919921160824163,2.16205977216376,19.4105501216903,4,0.513412859104383,19.4105501216903,1,0.84122135057141,0.047392843327825,0.111385806100764,"NA",NA
"514",3,8,2,2,1980,37,500,14,280,5,35.48,"20 M2/HA",28.8594376739593,1169.15244449052,18.3157050819142,0,0,18.3157050819142,4,1.13641730010393,18.3157050819142,1,1,0,0,"NA",NA
"515",3,8,2,3,1983,40,500,14,280,5,36.94,"20 M2/HA",30.0599638817386,1103.80426976597,19.8712332684127,0,0,19.8712332684127,4,1.07289881144392,19.8712332684127,1,1,0,0,"NA",NA
"516",3,8,2,4,1988,45,500,11,220,5,39.7854545454545,"20 M2/HA",34.1851372135764,723.340512595231,20.1923663501911,0,0,20.1923663501911,4,0.703087673684398,20.1923663501911,1,1,0,0,"NA",NA
"517",3,8,2,5,1994,51,500,11,220,5,43.2,"20 M2/HA",37.2523824741452,640.739393932735,23.9784258400098,0,0,23.9784258400098,4,0.622799306929193,23.9784258400098,1,1,0,0,"NA",NA
"518",3,8,3,2,1980,37,500,12,240,5,40.16,"20 M2/HA",33.0188203908014,828.717065288252,20.5505869717882,0,0,20.5505869717882,4,0.805513784214276,20.5505869717882,1,1,0,0,"NA",NA
"519",3,8,3,3,1983,40,500,12,240,5,41.32,"20 M2/HA",34.2130092216397,788.191705809185,22.0639706928388,0,0,22.0639706928388,4,0.766123095838294,22.0639706928388,1,1,0,0,"NA",NA
"520",3,8,3,4,1988,45,500,9,180,5,43.4636363636364,"20 M2/HA",39.6652067004514,479.808625438542,22.2424093908442,0,0,22.2424093908442,4,0.466374445229044,22.2424093908442,1,1,0,0,"NA",NA
"521",3,8,3,5,1994,51,500,9,180,5,46.3,"20 M2/HA",42.3141032438752,437.973686491436,25.3123617886873,0,0,25.3123617886873,4,0.425710844351059,25.3123617886873,1,1,0,0,"NA",NA
"522",3,8,4,2,1980,37,500,15,300,5,36.2,"20 M2/HA",28.9743679827533,1245.65703012623,19.7805826123934,0,0,19.7805826123934,4,1.21077983089571,19.7805826123934,1,1,0,0,"NA",NA
"523",3,8,4,3,1983,40,500,16,320,5,37.96,"20 M2/HA",30.2949665786249,1247.70324730464,23.0664529085993,0,0,23.0664529085993,4,1.21276875596042,23.0664529085993,1,1,0,0,"NA",NA
"524",3,8,4,4,1988,45,500,15,300,5,40.6054545454546,"20 M2/HA",32.779646224625,1046.57863619327,25.3174324750117,0,0,25.3174324750117,4,1.01727544059278,25.3174324750117,1,1,0,0,"NA",NA
"525",3,8,4,5,1994,51,500,15,300,5,43.78,"20 M2/HA",35.8706844094171,921.603228443743,30.3172958769743,0,0,30.3172958769743,4,0.895799224105029,30.3172958769743,1,1,0,0,"NA",NA
